TDP,air_velocity,tim_conductivity,thermal_resistance,junction_temperature
30,5.0,3,0.3068725965009993,34.20617789502998
30,5.0,4,0.3033452596403291,34.10035778920987
30,5.0,5,0.30122885752392703,34.03686572571781
30,5.0,6,0.2998179227796589,33.994537683389765
30,5.0,7,0.2988101122480389,33.96430336744117
30,5.0,8,0.29805425434932387,33.941627630479715
30,5.0,9,0.29746636487254546,33.92399094617636
30,5.0,10,0.2969960532911228,33.90988159873368
30,5.0,11,0.2966112529063224,33.89833758718967
30,5.0,12,0.2962905859189887,33.888717577569665
30,5.5,1,0.3321905202246628,34.965715606739884
30,5.5,2,0.3110264990606416,34.330794971819245
30,5.5,3,0.3039718253393012,34.119154760179036
30,5.5,4,0.30044448847863103,34.01333465435893
30,5.5,5,0.2983280863622289,33.949842590866865
30,5.5,6,0.29691715161796084,33.90751454853883
30,5.5,7,0.29590934108634076,33.87728023259022
30,5.5,8,0.2951534831876257,33.85460449562877
30,5.5,9,0.29456559371084734,33.83696781132542
30,5.5,10,0.29409528212942465,33.82285846388274
30,5.5,11,0.2937104817446243,33.81131445233873
30,5.5,12,0.29338981475729065,33.80169444271872
30,6.0,1,0.3296216018479842,34.888648055439525
30,6.0,2,0.30845758068396306,34.25372742051889
30,6.0,3,0.3014029069626227,34.042087208878684
30,6.0,4,0.2978755701019525,33.936267103058576
30,6.0,5,0.29575916798555035,33.87277503956651
30,6.0,6,0.2943482332412823,33.83044699723847
30,6.0,7,0.2933404227096622,33.800212681289864
30,6.0,8,0.2925845648109472,33.77753694432842
30,6.0,9,0.29199667533416884,33.75990026002506
30,6.0,10,0.2915263637527461,33.74579091258238
30,6.0,11,0.2911415633679457,33.734246901038375
30,6.0,12,0.2908208963806121,33.72462689141836
30,6.5,1,0.3273233272506808,34.81969981752042
30,6.5,2,0.30615930608665964,34.18477918259979
30,6.5,3,0.29910463236531926,33.97313897095958
30,6.5,4,0.29557729550464906,33.867318865139474
30,6.5,5,0.293460893388247,33.80382680164741
30,6.5,6,0.29204995864397887,33.761498759319366
30,6.5,7,0.29104214811235884,33.73126444337076
30,6.5,8,0.29028629021364377,33.708588706409316
30,6.5,9,0.2896984007368654,33.69095202210596
30,6.5,10,0.28922808915544274,33.676842674663284
30,6.5,11,0.28884328877064236,33.66529866311927
30,6.5,12,0.2885226217833087,33.65567865349926
30,7.0,1,0.3252494385883166,34.7574831576495
30,7.0,2,0.30408541742429546,34.12256252272886
30,7.0,3,0.29703074370295507,33.910922311088655
30,7.0,4,0.2935034068422849,33.80510220526855
30,7.0,5,0.29138700472588275,33.74161014177648
30,7.0,6,0.2899760699816147,33.69928209944844
30,7.0,7,0.2889682594499946,33.669047783499835
30,7.0,8,0.2882124015512796,33.64637204653839
30,7.0,9,0.28762451207450124,33.628735362235034
30,7.0,10,0.2871542004930785,33.61462601479236
30,7.0,11,0.2867694001082781,33.603082003248346
30,7.0,12,0.2864487331209445,33.59346199362834
30,7.5,1,0.3233642045508573,34.70092613652572
30,7.5,2,0.30220018338683613,34.06600550160508
30,7.5,3,0.29514550966549574,33.854365289964875
30,7.5,4,0.29161817280482555,33.74854518414477
30,7.5,5,0.2895017706884234,33.685053120652704
30,7.5,6,0.28809083594415535,33.64272507832466
30,7.5,7,0.2870830254125353,33.612490762376055
30,7.5,8,0.28632716751382026,33.58981502541461
30,7.5,9,0.2857392780370419,33.572178341111254
30,7.5,10,0.28526896645561917,33.55806899366858
30,7.5,11,0.2848841660708188,33.546524982124566
30,7.5,12,0.28456349908348516,33.53690497250456
30,8.0,1,0.3216395046406946,34.64918513922083
30,8.0,2,0.3004754834766734,34.0142645043002
30,8.0,3,0.293420809755333,33.80262429265999
30,8.0,4,0.28989347289466283,33.696804186839884
30,8.0,5,0.28777707077826076,33.63331212334782
30,8.0,6,0.28636613603399264,33.59098408101978
30,8.0,7,0.2853583255023726,33.56074976507118
30,8.0,8,0.28460246760365754,33.538074028109726
30,8.0,9,0.2840145781268792,33.52043734380638
30,8.0,10,0.2835442665454565,33.506327996363694
30,8.0,11,0.2831594661606561,33.494783984819684
30,8.0,12,0.28283879917332244,33.485163975199676
30,8.5,1,0.320052847910362,34.60158543731086
30,8.5,2,0.2988888267463408,33.96666480239023
30,8.5,3,0.29183415302500043,33.75502459075001
30,8.5,4,0.28830681616433024,33.64920448492991
30,8.5,5,0.2861904140479281,33.58571242143785
30,8.5,6,0.28477947930366004,33.5433843791098
30,8.5,7,0.28377166877203996,33.5131500631612
30,8.5,8,0.28301581087332495,33.490474326199745
30,8.5,9,0.2824279213965466,33.4728376418964
30,8.5,10,0.28195760981512386,33.458728294453714
30,8.5,11,0.2815728094303235,33.4471842829097
30,8.5,12,0.28125214244298985,33.437564273289695
30,9.0,1,0.3185859906219589,34.557579718658765
30,9.0,2,0.29742196945793775,33.92265908373813
30,9.0,3,0.29036729573659736,33.711018872097924
30,9.0,4,0.28683995887592717,33.605198766277816
30,9.0,5,0.2847235567595251,33.54170670278575
30,9.0,6,0.283312622015257,33.49937866045771
30,9.0,7,0.28230481148363695,33.46914434450911
30,9.0,8,0.28154895358492193,33.44646860754766
30,9.0,9,0.28096106410814353,33.4288319232443
30,9.0,10,0.28049075252672084,33.414722575801626
30,9.0,11,0.28010595214192047,33.403178564257615
30,9.0,12,0.2797852851545868,33.39355855463761
30,9.5,1,0.3172239493317837,34.51671847995351
30,9.5,2,0.29605992816776255,33.88179784503288
30,9.5,3,0.28900525444642217,33.67015763339266
30,9.5,4,0.285477917585752,33.56433752757256
30,9.5,5,0.28336151546934985,33.5008454640805
30,9.5,6,0.2819505807250818,33.458517421752454
30,9.5,7,0.2809427701934617,33.42828310580385
30,9.5,8,0.2801869122947467,33.4056073688424
30,9.5,9,0.27959902281796833,33.38797068453905
30,9.5,10,0.2791287112365456,33.37386133709637
30,9.5,11,0.2787439108517452,33.362317325552354
30,9.5,12,0.2784232438644116,33.352697315932346
30,10.0,1,0.3159542818976238,34.47862845692872
30,10.0,2,0.29479026073360265,33.84370782200808
30,10.0,3,0.28773558701226226,33.63206761036787
30,10.0,4,0.28420825015159207,33.52624750454776
30,10.0,5,0.28209184803518994,33.4627554410557
30,10.0,6,0.2806809132909219,33.420427398727654
30,10.0,7,0.2796731027593018,33.39019308277905
30,10.0,8,0.2789172448605868,33.3675173458176
30,10.0,9,0.27832935538380843,33.34988066151425
30,10.0,10,0.2778590438023857,33.33577131407157
30,10.0,11,0.2774742434175853,33.32422730252756
30,10.0,12,0.2771535764302517,33.31460729290755
30,10.5,1,0.3147665542096756,34.44299662629027
30,10.5,2,0.2936025330456544,33.808075991369634
30,10.5,3,0.28654785932431404,33.59643577972942
30,10.5,4,0.28302052246364384,33.49061567390932
30,10.5,5,0.2809041203472417,33.427123610417254
30,10.5,6,0.27949318560297365,33.38479556808921
30,10.5,7,0.27848537507135357,33.354561252140606
30,10.5,8,0.2777295171726385,33.33188551517915
30,10.5,9,0.27714162769586015,33.314248830875805
30,10.5,10,0.27667131611443746,33.30013948343313
30,10.5,11,0.2762865157296371,33.28859547188911
30,10.5,12,0.27596584874230345,33.2789754622691
30,11.0,1,0.3136519383008245,34.40955814902473
30,11.0,2,0.29248791713680333,33.7746375141041
30,11.0,3,0.28543324341546294,33.562997302463884
30,11.0,4,0.28190590655479275,33.457177196643784
30,11.0,5,0.2797895044383907,33.39368513315172
30,11.0,6,0.27837856969412256,33.351357090823676
30,11.0,7,0.27737075916250253,33.32112277487508
30,11.0,8,0.27661490126378746,33.298447037913625
30,11.0,9,0.2760270117870091,33.28081035361028
30,11.0,10,0.2755567002055864,33.266701006167594
30,11.0,11,0.27517189982078605,33.25515699462358
30,11.0,12,0.27485123283345236,33.24553698500357
30,11.5,1,0.3126029050931567,34.3780871527947
30,11.5,2,0.29143888392913553,33.743166517874066
30,11.5,3,0.28438421020779514,33.53152630623386
30,11.5,4,0.28085687334712495,33.42570620041375
30,11.5,5,0.2787404712307228,33.362214136921686
30,11.5,6,0.27732953648645475,33.31988609459364
30,11.5,7,0.2763217259548347,33.28965177864504
30,11.5,8,0.27556586805611966,33.26697604168359
30,11.5,9,0.27497797857934125,33.24933935738024
30,11.5,10,0.27450766699791856,33.23523000993755
30,11.5,11,0.2741228666131182,33.22368599839355
30,11.5,12,0.27380219962578456,33.21406598877354
30,12.0,1,0.31161298643404456,34.34838959302134
30,12.0,2,0.2904489652700234,33.713468958100705
30,12.0,3,0.283394291548683,33.50182874646049
30,12.0,4,0.2798669546880128,33.39600864064039
30,12.0,5,0.2777505525716107,33.33251657714832
30,12.0,6,0.2763396178273426,33.29018853482028
30,12.0,7,0.27533180729572254,33.25995421887168
30,12.0,8,0.27457594939700747,33.237278481910224
30,12.0,9,0.2739880599202291,33.219641797606876
30,12.0,10,0.27351774833880643,33.20553245016419
30,12.0,11,0.27313294795400606,33.19398843862018
30,12.0,12,0.2728122809666724,33.18436842900017
30,12.5,1,0.31067658861745606,34.320297658523685
30,12.5,2,0.2895125674534349,33.685377023603046
30,12.5,3,0.2824578937320945,33.47373681196284
30,12.5,4,0.2789305568714243,33.36791670614273
30,12.5,5,0.27681415475502225,33.304424642650666
30,12.5,6,0.2754032200107541,33.26209660032262
30,12.5,7,0.2743954094791341,33.231862284374024
30,12.5,8,0.273639551580419,33.20918654741257
30,12.5,9,0.2730516621036407,33.191549863109216
30,12.5,10,0.272581350522218,33.17744051566654
30,12.5,11,0.2721965501374176,33.16589650412253
30,12.5,12,0.27187588315008393,33.15627649450252
30,13.0,1,0.30978884467730894,34.293665340319265
30,13.0,2,0.2886248235132878,33.65874470539863
30,13.0,3,0.2815701497919474,33.447104493758424
30,13.0,4,0.2780428129312772,33.341284387938316
30,13.0,5,0.27592641081487507,33.27779232444625
30,13.0,6,0.274515476070607,33.23546428211821
30,13.0,7,0.2735076655389869,33.20522996616961
30,13.0,8,0.27275180764027185,33.18255422920816
30,13.0,9,0.2721639181634935,33.1649175449048
30,13.0,10,0.2716936065820708,33.150808197462126
30,13.0,11,0.27130880619727044,33.139264185918115
30,13.0,12,0.2709881392099368,33.1296441762981
30,13.5,1,0.30894549623847867,34.26836488715436
30,13.5,2,0.2877814750744575,33.63344425223372
30,13.5,3,0.2807268013531171,33.421804040593514
30,13.5,4,0.2771994644924469,33.315983934773406
30,13.5,5,0.2750830623760448,33.25249187128134
30,13.5,6,0.27367212763177673,33.2101638289533
30,13.5,7,0.27266431710015665,33.1799295130047
30,13.5,8,0.2719084592014416,33.15725377604325
30,13.5,9,0.27132056972466323,33.13961709173989
30,13.5,10,0.27085025814324054,33.12550774429722
30,13.5,11,0.27046545775844016,33.113963732753206
30,13.5,12,0.27014479077110654,33.1043437231332
30,14.0,1,0.308142798155158,34.24428394465474
30,14.0,2,0.28697877699113683,33.60936330973411
